;;;;;;;;;;;;;;;;;;;;;
163;17/04/1999;8;27;36;41;53;56;2;146;10793;8.975.833,36;15.657,23;211,80;;;0,00;0,00;0,00;Não;Não;02 Ganhadores da MEGA: Distrito Federal e Mato Grosso do Sul
164;24/04/1999;4;10;14;19;28;44;0;111;8386;0,00;7.595,63;100,54;;;0,00;0,00;1.011.737,90;Sim;Não;A Mega,Sena ACUMULOU em:  1.011.737,90
165;1/5/1999;10;19;23;35;39;56;2;75;5378;1.044.444,54;11.968,35;166,91;;;0,00;0,00;0,00;Não;Não;Ganhadores da SENA dos Estados de Minas Gerais e Pernambuco.
166;8/5/1999;12;13;22;57;59;60;0;47;3371;0,00;17.424,67;242,95;;;0,00;0,00;982.751,54;Sim;Não;A MEGA A C U M U L O U ! ! !
167;15/05/1999;1;11;28;33;38;48;1;82;4997;2.100.980,21;11.364,11;186,48;;;0,00;0,00;0,00;Não;Não;Ganhador da SENA do Estado do Rio de Janeiro.
168;22/05/1999;2;9;31;35;45;50;0;48;3528;0,00;15.743,70;214,20;;;0,00;0,00;906.836,93;Sim;Não;MEGASENA , O prêmio está ACUMULADO
169;29/05/1999;1;13;21;37;51;52;0;65;4489;0,00;13.679,08;198,07;;;0,00;0,00;1.973.804,91;Sim;Não;
170;5/6/1999;7;41;46;51;55;58;0;50;6257;0,00;32.383,95;258,78;;;0,00;0,00;13.643.095,71;Sim;Não;"A MEGA,SENA CONTINUA ""A C U M U L A D A"" podendo passar de 16 MILHÕES DE REAIS"
171;12/6/1999;4;27;40;43;46;54;1;134;10378;16.052.410,83;14.983,30;193,46;;;0,00;0,00;0,00;Não;Não;UM GANHADOR DA MEGA,SENA, no Estado do Rio de Janeiro , Capital
172;19/06/1999;10;14;26;35;36;49;0;64;4592;0,00;13.460,12;186,89;;;0,00;0,00;1.033.736,70;Sim;Não;
173;26/06/1999;17;28;29;42;49;50;1;40;3610;2.148.316,42;23.220,41;256,32;;;0,00;0,00;0,00;Não;Não;O Ganhador da SENA é do Distrito Federal.
174;3/7/1999;11;22;23;36;52;59;0;44;3217;0,00;17.846,85;243,18;;;0,00;0,00;942.313,58;Sim;Não;A MEGA,SENA ( A C U M U L O U ) ,  942.313,58
175;10/7/1999;1;10;13;20;42;50;0;114;7058;0,00;8.094,08;130,25;;;0,00;0,00;2.049.582,99;Sim;Não;A SENA está ACUMULADA em  2.049.582,99.
176;17/07/1999;1;3;4;28;45;53;0;62;5405;0,00;16.696,39;190,80;;;0,00;0,00;3.291.794,61;Sim;Não;
177;24/07/1999;22;35;38;39;41;59;0;52;4408;0,00;21.716,29;255,21;;;0,00;0,00;4.646.890,81;Sim;Não;A SENA ESTÁ ACUMULADA, E O PRÊMIO ESTIMADO É DE  6.500.000,00!
178;31/07/1999;5;15;19;26;27;33;1;198;13086;6.129.539,43;6.240,11;94,07;;;0,00;0,00;0,00;Não;Não;Ganhador do Estado de São Paulo
179;7/8/1999;5;6;23;26;27;53;0;78;5646;0,00;10.281,59;141,51;;;0,00;0,00;962.357,04;Sim;Não;Não Houve Ganhador da Sena. MEGASENA ACUMULADA.
